Title,Price,Page,Image
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Electric Scooter for Kids, [Great Gift to Kids Age 6-12] Mcbob Kids Electric Scooter Colorful Ambient Light, LED Display, 3 Speeds 5/8/10Mph for Kids/Teens (Age 6-12)",$199.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MTozMjkzMjA1MTgyNTc0OTI5OjE2OTA2NjExMzY6c3BfbXRmOjMwMDAyMjE5MDgyNjcwMjo6MDo6&amp;url=%2FElectric-Scooter-Colorful-Ambient-Display%2Fdp%2FB0BZD5DLZW%2Fref%3Dsr_1_116_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690661136%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-116-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61ebJx8y0vL._AC_UL320_.jpg
"Kicksy - Kick Scooter for Kids Ages 6-12 & Scooter for Teens 12 Years and Up- Big Wheel Scooter for Stability - 2 Wheel Scooter for Boys & Girls- Foldable Kick Scooter Adult - Up to 220 lbs",$49.95,www.amazon.com/Kicksy-Stability-Foldable-Adult-Up-Hamptons/dp/B08KSJM897/ref=sr_1_117?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-117,https://m.media-amazon.com/images/I/61eR70PV5WL._AC_UL320_.jpg
"Green Indoor Scooter Board with Handles, Gym Scooters for Kids, Recess Toys, PE Equipment for Elementary School, Kids Indoor Play Equipment, Floor Scooter, Kids Sports Activities",$16.79,www.amazon.com/hand2mind-Scooters-Equipment-Elementary-Activities/dp/B015DY2QNQ/ref=sr_1_118?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-118,https://m.media-amazon.com/images/I/41f7glrLPxL._AC_UL320_.jpg
"YBang Scooter Honeycomb Solid Tire 8 1/2 × 2 Rubber Tire 8.5 Inch Tubeless Tire for Xiaomi Mi 3/1S/M365/PRO/PRO2 for Gotrax Gxl V2/XR Electric Scooter",$52.99,www.amazon.com/Scooter-Honeycomb-Rubber-Tubeless-Electric/dp/B09YMQRCWT/ref=sr_1_119?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-119,https://m.media-amazon.com/images/I/71FjIYJ1BUL._AC_UL320_.jpg
"Razor PowerWing Lightshow Caster Scooter for Kids Ages 6+ – Multi-Color LED Lights with 5 Animated Light Modes, Inclined Casters for Drifting and Spinning, for Riders up to 143 lbs",$106.52,www.amazon.com/Razor-PowerWing-Lightshow-Caster-Scooter/dp/B09NXF5K2G/ref=sr_1_120?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-120,https://m.media-amazon.com/images/I/51qFDn+mNPL._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Adults & Kids Bike Helmets for Men & Women – Kids Helmet for Boys & Girls, Bicycle Adults Helmets - for Skateboard, Scooter, Cycling, Adjustable Helmets for Toddlers…",$32.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MTozMjkzMjA1MTgyNTc0OTI5OjE2OTA2NjExMzY6c3BfbXRmOjMwMDAxMzMwNzc1MTMwMjo6MDo6&amp;url=%2FINNAMOTO-Adults-Kids-Helmets-Women%2Fdp%2FB08P1XF61V%2Fref%3Dsr_1_121_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690661136%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-121-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/611Tn1RHf0L._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  42V 2A Electric Scooter Charger for Gotrax Jetson, Power Charger Adapter Cable 1 Prong with 5.5mm tip Universal Compatible with 36V Li-ion Battery Bike Scooter Charger",$15.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MTozMjkzMjA1MTgyNTc0OTI5OjE2OTA2NjExMzY6c3BfbXRmOjMwMDAxODI4OTA0MjQwMjo6MDo6&amp;url=%2FFalamiao-Electric-Scooter-Universal-Compatible%2Fdp%2FB0C7G4SYW9%2Fref%3Dsr_1_122_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690661136%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-122-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71VHqcRt+9L._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Allek Kick Scooter Foldable F02, 3-Wheel LED Flashing Glider and 4 Adjustable Height with Anti-Slip Thick Deck Push Scooter for Children 3-12yrs",$89.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MTozMjkzMjA1MTgyNTc0OTI5OjE2OTA2NjExMzY6c3BfbXRmOjIwMDAzNjk0OTMzODg5ODo6MDo6&amp;url=%2FAllek-Foldable-F02-Adjustable-Anti-Slip%2Fdp%2FB0997TFV4S%2Fref%3Dsr_1_123_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690661136%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-123-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61biOWFSm4L._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Fuzion Z300 Pro Scooters for Adults - Pro Scooters for Teens, Teens and Adults – Durable BMX Scooter Trick Scooter, Freestyle Kick Scooter for Boys and Girls",$139.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MTozMjkzMjA1MTgyNTc0OTI5OjE2OTA2NjExMzY6c3BfbXRmOjIwMDEwNjk1OTUwNzI5ODo6MDo6&amp;url=%2FFuzion-Scooter-Complete-Stunt-Scooters%2Fdp%2FB0973T4V9V%2Fref%3Dsr_1_124_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690661136%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-124-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/51FBJQt-wOL._AC_UL320_.jpg
"Allek Kick Scooter Foldable F02, 3-Wheel LED Flashing Glider and 4 Adjustable Height with Anti-Slip Thick Deck Push Scooter for Children 3-12yrs",$89.99,www.amazon.com/Allek-Foldable-F02-Adjustable-Anti-Slip/dp/B0997TFV4S/ref=sr_1_125?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-125,https://m.media-amazon.com/images/I/61biOWFSm4L._AC_UL320_.jpg
